retailer_product_id,category
1633738,bakery
1638152,bakery
1639676,bakery
1639756,bakery
1639847,bakery
1647164,bakery
1649545,bakery
1649556,bakery
1673969,bakery
1674010,bakery
1674021,bakery
1682879,bakery
1690050,bakery
1700030,bakery
1705271,bakery
1711321,bakery
1711660,bakery
1711922,bakery
1725064,bakery
1727773,bakery
1734666,bakery
1734768,bakery
1743962,bakery
1751916,bakery
1758198,bakery
1777410,bakery
1789952,bakery
1800931,bakery
1800942,bakery
1800953,bakery
1823074,bakery
1824882,bakery
1824893,bakery
1826720,bakery
1826731,bakery
1841804,bakery
1841826,bakery
1845747,bakery
1845769,bakery
1845930,bakery
1845940,bakery
1845951,bakery
1855456,bakery
1856492,bakery
1856517,bakery
1858320,bakery
1858330,bakery
1858341,bakery
1858352,bakery
1858363,bakery
1858374,bakery
1858385,bakery
1875679,bakery
1875715,bakery
1875792,bakery
1875872,bakery
1875952,bakery
1897682,bakery
1898903,bakery
1917917,bakery
1917928,bakery
1967369,bakery
1987162,bakery
1997166,bakery
1997177,bakery
2003338,bakery
2003349,bakery
2004818,bakery
2006234,bakery
2061196,bakery
2067341,bakery
2107606,bakery
2108960,bakery
2108981,bakery
2108992,bakery
2120207,bakery
2120218,bakery
2132192,bakery
2151324,bakery
2151970,bakery
2270436,bakery
2298297,bakery
2358333,bakery
2360380,bakery
2360890,bakery
2361189,bakery
2363300,bakery
2390697,bakery
2390744,bakery
2409274,bakery
2409285,bakery
2409296,bakery
2409300,bakery
2409310,bakery
2471234,bakery
2492391,bakery
2563489,bakery
2563740,bakery
2563762,bakery
2591940,bakery
2592079,bakery
2603798,bakery
2607380,bakery
2649471,bakery
2649482,bakery
2649493,bakery
2678797,bakery
2679042,bakery
2715816,bakery
2724920,bakery
2728964,bakery
2748032,bakery
2759913,bakery
2762237,bakery
2792704,bakery
2796396,bakery
2834225,bakery
2834247,bakery
2847726,bakery
2862016,bakery
2864190,bakery
2872643,bakery
2877727,bakery
2901978,bakery
2901989,bakery
2902427,bakery
2915724,bakery
2917050,bakery
2917060,bakery
2917720,bakery
2917752,bakery
2917785,bakery
2917821,bakery
2918165,bakery
2918868,bakery
2941203,bakery
2941214,bakery
2995982,bakery
2995993,bakery
3002170,bakery
3003661,bakery
3018013,bakery
3018024,bakery
3018057,bakery
3022247,bakery
3081315,bakery
3110650,bakery
3163409,bakery
3163410,bakery
3163431,bakery
3179657,bakery
3179680,bakery
3207581,bakery
3207592,bakery
3216913,bakery
3217654,bakery
3226746,bakery
3237185,bakery
3237196,bakery
3237899,bakery
3237913,bakery
3237957,bakery
3237968,bakery
3245037,bakery
3245048,bakery
3258607,bakery
3259687,bakery
3259701,bakery
3295636,bakery
3299568,bakery
3301681,bakery
3301692,bakery
3301706,bakery
3307633,bakery
3313760,bakery
3340253,bakery
3340344,bakery
3340730,bakery
3340763,bakery
3340843,bakery
3362960,bakery
3362970,bakery
3375826,bakery
3375848,bakery
3377005,bakery
3378289,bakery
3378290,bakery
3378303,bakery
3378314,bakery
3378325,bakery
3384430,bakery
3384893,bakery
3384907,bakery
3384918,bakery
3384930,bakery
3397910,bakery
3400901,bakery
3401085,bakery
3401212,bakery
3401325,bakery
3446630,bakery
3446673,bakery
3446710,bakery
3452610,bakery
3466047,bakery
3467323,bakery
3475490,bakery
3476925,bakery
3498702,bakery
3498859,bakery
3512541,bakery
3515550,bakery
3515561,bakery
3534271,bakery
3534282,bakery
3534293,bakery
3534307,bakery
3534318,bakery
3558247,bakery
3562197,bakery
3572292,bakery
3575508,bakery
3575621,bakery
3575643,bakery
3575654,bakery
3575665,bakery
3575687,bakery
3576828,bakery
3577219,bakery
3577220,bakery
3580155,bakery
3597861,bakery
3597883,bakery
3597920,bakery
3597930,bakery
3610744,bakery
3610766,bakery
3614202,bakery
3614213,bakery
3614224,bakery
3614235,bakery
3617142,bakery
3624283,bakery
3624308,bakery
3626405,bakery
3627328,bakery
3628058,bakery
3633681,bakery
3638700,bakery
3639430,bakery
3639451,bakery
3639462,bakery
3639597,bakery
3639724,bakery
3639837,bakery
3640202,bakery
3641974,bakery
3646151,bakery
3659700,bakery
3670054,bakery
3673664,bakery
3678657,bakery
3678668,bakery
3716235,bakery
3731705,bakery
3731716,bakery
3733948,bakery
3733981,bakery
3734940,bakery
3735750,bakery
3736811,bakery
3747385,bakery
3751724,bakery
3751790,bakery
3755452,bakery
3755463,bakery
3756284,bakery
3757028,bakery
3757039,bakery
3757050,bakery
3757061,bakery
3757072,bakery
3758938,bakery
3763097,bakery
3764737,bakery
3781871,bakery
3781882,bakery
3782932,bakery
3850817,bakery
3850828,bakery
3850839,bakery
3850861,bakery
3853510,bakery
3860887,bakery
3860901,bakery
3860912,bakery
3865541,bakery
3870825,bakery
3871090,bakery
3883747,bakery
3883758,bakery
3896931,bakery
3900427,bakery
3904712,bakery
3910442,bakery
3912460,bakery
3963551,bakery
3967483,bakery
3986717,bakery
4147689,bakery
4147838,bakery
4147850,bakery
4147860,bakery
4150672,bakery
4161635,bakery
4166865,bakery
4215337,bakery
4222300,bakery
4226606,bakery
4261538,bakery
4307560,bakery
4309124,bakery
4311363,bakery
4311385,bakery
4315080,bakery
4315091,bakery
4317483,bakery
4319150,bakery
4327240,bakery
4330685,bakery
4344250,bakery
4344704,bakery
4344715,bakery
4389462,bakery
4393007,bakery
4393288,bakery
4393776,bakery
4395487,bakery
4402505,bakery
4405467,bakery
4405660,bakery
4406109,bakery
4406131,bakery
4420008,bakery
4444582,bakery
4459240,bakery
